# Date: experiment date									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
06/07/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	159
06/07/23	yjm sc	yH118	wt	PO	45 min	2 hr	2mM	100	214
06/07/23	yjm sc	yH118	wt	PO	45 min	2 hr	4mM	100	158
06/07/23	yjm sc	yH118	wt	PO	45 min	2 hr	6mM	100	107
06/07/23	yjm sc	yH118	wt	PO	45 min	2 hr	8mM	100	86
06/07/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	32
06/08/23	yjm sc	yH118	wt	MM	45 min	2 hr	0 mM	1000	212
06/08/23	yjm sc	yH118	wt	MO	45 min	2 hr	2mM	100	233
06/08/23	yjm sc	yH118	wt	MO	45 min	2 hr	4mM	100	141
06/08/23	yjm sc	yH118	wt	MO	45 min	2 hr	6mM	100	93
06/08/23	yjm sc	yH118	wt	MO	45 min	2 hr	8mM	100	80
06/08/23	yjm sc	yH118	wt	MO	45 min	2 hr	10mM	100	69
06/08/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	189
06/08/23	yjm sc	yH118	wt	PO	45 min	2 hr	2mM	100	197
06/08/23	yjm sc	yH118	wt	PO	45 min	2 hr	4mM	100	149
06/08/23	yjm sc	yH118	wt	PO	45 min	2 hr	6mM	100	98
06/08/23	yjm sc	yH118	wt	PO	45 min	2 hr	8mM	100	81
06/08/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	26
06/12/23	yjm sc	yH118	wt	MM	45 min	2 hr	0 mM	1000	356
06/12/23	yjm sc	yH118	wt	MO	45 min	2 hr	10mM	100	275
06/12/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	298
06/12/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	103
06/14/23	yjm sc	yH118	wt	MM	45 min	2 hr	0 mM	1000	163
06/14/23	yjm sc	yH118	wt	MO	45 min	2 hr	6mM	100	227
06/14/23	yjm sc	yH118	wt	MO	45 min	2 hr	8mM	100	154
06/14/23	yjm sc	yH118	wt	MO	45 min	2 hr	10mM	100	178
06/14/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	203
06/14/23	yjm sc	yH118	wt	PO	45 min	2 hr	6mM	100	187
06/14/23	yjm sc	yH118	wt	PO	45 min	2 hr	8mM	100	171
06/14/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	94
06/16/23	yjm sc	yH118	wt	MM	45 min	2 hr	0 mM	1000	178
06/16/23	yjm sc	yH118	wt	MO	45 min	2 hr	6mM	100	143
06/16/23	yjm sc	yH118	wt	MO	45 min	2 hr	8mM	100	88
06/16/23	yjm sc	yH118	wt	MO	45 min	2 hr	10mM	100	62
06/16/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	152
06/16/23	yjm sc	yH118	wt	PO	45 min	2 hr	6mM	100	80
06/16/23	yjm sc	yH118	wt	PO	45 min	2 hr	8mM	100	99
06/16/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	57
06/19/23	yjm sc	yH118	wt	MM	45 min	2 hr	0 mM	1000	222
06/19/23	yjm sc	yH118	wt	MO	45 min	2 hr	6mM	100	27
06/19/23	yjm sc	yH118	wt	MO	45 min	2 hr	8mM	100	29
06/19/23	yjm sc	yH118	wt	MO	45 min	2 hr	10mM	100	17
06/19/23	yjm sc	yH118	wt	PM	45 min	2 hr	0 mM	1000	239
06/19/23	yjm sc	yH118	wt	PO	45 min	2 hr	6mM	100	33
06/19/23	yjm sc	yH118	wt	PO	45 min	2 hr	8mM	100	32
06/19/23	yjm sc	yH118	wt	PO	45 min	2 hr	10mM	100	27
