# Date: experiment date, A/B/letters is biological replicates done on the same day									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
09/02/22	yH154	Sc	wt	MO	45 min	2 hr	1.5 mM	1000	19
09/02/22	yH154	Sc	wt	MO	45 min	2 hr	2 mM	1000	30
09/02/22	yH154	Sc	wt	MO	45 min	2 hr	2.5 mM	1000	35
09/02/22	yH154	Sc	wt	MO	45 min	2 hr	3 mM	1000	15
09/02/22	yH154	Sc	wt	MO	45 min	2 hr	3.5 mM	1000	3
09/02/22	yH154	Sc	wt	PM	45 min	2 hr	0 mM	1000	262
09/02/22	yH154	Sc	wt	PO	45 min	2 hr	1.5 mM	1000	26
09/02/22	yH154	Sc	wt	PO	45 min	2 hr	2 mM	1000	57
09/02/22	yH154	Sc	wt	PO	45 min	2 hr	2.5 mM	1000	34
09/02/22	yH154	Sc	wt	PO	45 min	2 hr	3 mM	1000	15
09/02/22	yH154	Sc	wt	PO	45 min	2 hr	3.5 mM	1000	28
09/02/22	yH149	Kl	wt	MM	45 min	2 hr	0 mM	1000	281
09/02/22	yH149	Kl	wt	MO	45 min	2 hr	1.5 mM	1000	17
09/02/22	yH149	Kl	wt	MO	45 min	2 hr	2 mM	1000	25
09/02/22	yH149	Kl	wt	MO	45 min	2 hr	2.5 mM	1000	20
09/02/22	yH149	Kl	wt	MO	45 min	2 hr	3 mM	1000	14
09/02/22	yH149	Kl	wt	MO	45 min	2 hr	3.5 mM	1000	11
09/02/22	yH149	Kl	wt	PM	45 min	2 hr	0 mM	1000	228
09/02/22	yH149	Kl	wt	PO	45 min	2 hr	1.5 mM	1000	49
09/02/22	yH149	Kl	wt	PO	45 min	2 hr	2 mM	1000	36
09/02/22	yH149	Kl	wt	PO	45 min	2 hr	2.5 mM	1000	27
09/02/22	yH149	Kl	wt	PO	45 min	2 hr	3 mM	1000	39
09/02/22	yH149	Kl	wt	PO	45 min	2 hr	3.5 mM	1000	31
07/31/23	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	297
07/31/23	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	153
07/31/23	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	70
07/31/23	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	17
07/31/23	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	178
07/31/23	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	63
07/31/23	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	62
07/31/23	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	38
08/02/23	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	231
08/02/23	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	76
08/02/23	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	30
08/02/23	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	15
08/02/23	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	175
08/02/23	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	56
08/02/23	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	69
08/02/23	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	39
08/01/23	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	279
08/01/23	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	17
08/01/23	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	7
08/01/23	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	3
08/01/23	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	161
08/01/23	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	39
08/01/23	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	21
08/01/23	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	11
08/03/23	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	456
08/03/23	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	91
08/03/23	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	52
08/03/23	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	11
08/03/23	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	318
08/03/23	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	72
08/03/23	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	50
08/03/23	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	51
11/22/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	153
11/22/23	yH220	Ca	wildtype	MO	45 min	2 hr	2 mM	100	311
11/22/23	yH220	Ca	wildtype	MO	45 min	2 hr	4 mM	100	355
11/22/23	yH220	Ca	wildtype	MO	45 min	2 hr	6 mM	100	265
11/22/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	96
11/22/23	yH220	Ca	wildtype	PO	45 min	2 hr	2 mM	100	435
11/22/23	yH220	Ca	wildtype	PO	45 min	2 hr	4 mM	100	286
11/22/23	yH220	Ca	wildtype	PO	45 min	2 hr	6 mM	100	300
11/22/23	yH714	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	192
11/22/23	yH714	Ca	wildtype	MO	45 min	2 hr	2 mM	100	215
11/22/23	yH714	Ca	wildtype	MO	45 min	2 hr	4 mM	100	123
11/22/23	yH714	Ca	wildtype	MO	45 min	2 hr	6 mM	100	68
11/22/23	yH714	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	94
11/22/23	yH714	Ca	wildtype	PO	45 min	2 hr	2 mM	100	107
11/22/23	yH714	Ca	wildtype	PO	45 min	2 hr	4 mM	100	156
11/22/23	yH714	Ca	wildtype	PO	45 min	2 hr	6 mM	100	173
11/29/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	342
11/29/23	yH220	Ca	wildtype	MO	45 min	2 hr	2 mM	100	402
11/29/23	yH220	Ca	wildtype	MO	45 min	2 hr	4 mM	100	402
11/29/23	yH220	Ca	wildtype	MO	45 min	2 hr	6 mM	100	456
11/29/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	234
11/29/23	yH220	Ca	wildtype	PO	45 min	2 hr	2 mM	100	456
11/29/23	yH220	Ca	wildtype	PO	45 min	2 hr	4 mM	100	356
11/29/23	yH220	Ca	wildtype	PO	45 min	2 hr	6 mM	100	452
11/29/23	yH714	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	363
11/29/23	yH714	Ca	wildtype	MO	45 min	2 hr	2 mM	100	276
11/29/23	yH714	Ca	wildtype	MO	45 min	2 hr	4 mM	100	240
11/29/23	yH714	Ca	wildtype	MO	45 min	2 hr	6 mM	100	160
11/29/23	yH714	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	247
11/29/23	yH714	Ca	wildtype	PO	45 min	2 hr	2 mM	100	178
11/29/23	yH714	Ca	wildtype	PO	45 min	2 hr	4 mM	100	170
